Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,HUC 12 Code,Watershed Name,SIC Code,Facility Latitude,Facility Longitude,Pollutant Name,Substance Registry System ID,CAS Number,Average Daily Flow (MGD),Major/Non-Major Status,Contains Potential Outliers?,Total Pounds (lb/yr),Total TWPE (lb-eq/yr),Link to DFR
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,"Solids, total dissolved",,,5.691263441,Major,,37485270.29,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,"Solids, total dissolved",,,6.591666667,Major,,23608730,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0055824,110018947292,CASTAIC,CASTAIC,LOS ANGELES,CA,180701020305,Middle Castaic Creek,4911,34.60233,-118.67051,"Solids, total suspended",,,81.38382167,Major,,9274420.2,0,https://echo.epa.gov/detailed-facility-report?fid=CA0055824&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,"Solids, total dissolved",,,4.6,Major,,6722588,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Sulfate,197301,14808798,6.591666667,Major,,5668088,31.7412928,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0055824,110018947292,CASTAIC,CASTAIC,LOS ANGELES,CA,180701020305,Middle Castaic Creek,4911,34.60233,-118.67051,Chloride,205955,16887006,81.38382167,Major,Y,1940023.81,47.23536233,https://echo.epa.gov/detailed-facility-report?fid=CA0055824&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Sulfate,197301,14808798,4.6,Major,,1290260,7.225456,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,"Solids, total dissolved",,,0.4846299677,Major,,725910.5467,0,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0003352,110001169173,SIX FLAGS MAGIC MOUNTAIN INC,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,7996,34.42197,-118.58515,"Solids, total dissolved",,,0.03475216667,Major,,368524.6887,0,https://echo.epa.gov/detailed-facility-report?fid=CA0003352&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Nitrogen,153122,7727379,6.591666667,Major,,225790.5631,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,Chloride,205955,16887006,0.4846299677,Major,,193829.9906,4.719338902,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,"Nitrogen, nitrate dissolved",197186,14797558,5.691263441,Major,,150584.1,112.436128,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,Inorganic Nitrogen,,7727379,5.691263441,Major,,149907.0764,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,Sodium,149856,7440235,0.4846299677,Major,,146923.6653,0.8066397308,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0003352,110001169173,SIX FLAGS MAGIC MOUNTAIN INC,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,7996,34.42197,-118.58515,Sulfate,197301,14808798,0.03475216667,Major,,142851.9146,0.799970722,https://echo.epa.gov/detailed-facility-report?fid=CA0003352&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,Nitrogen,153122,7727379,5.691263441,Major,,138932.2224,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Inorganic Nitrogen,,7727379,6.591666667,Major,,135570.538,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,"Nitrogen, nitrate dissolved",197186,14797558,6.591666667,Major,,134214.826,100.2137367,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,Sulfate,197301,14808798,0.4846299677,Major,,114840.0944,0.6431045286,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Nitrogen,153122,7727379,4.6,Major,,95080.47484,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Total Kjeldahl Nitrogen,153122,7727379,6.591666667,Major,,89712.50942,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0055824,110018947292,CASTAIC,CASTAIC,LOS ANGELES,CA,180701020305,Middle Castaic Creek,4911,34.60233,-118.67051,"BOD, 5-day, 20 deg. C",,,81.38382167,Major,Y,89545.27636,0,https://echo.epa.gov/detailed-facility-report?fid=CA0055824&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Inorganic Nitrogen,,7727379,4.6,Major,,60908.72757,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,"Nitrogen, nitrate dissolved",197186,14797558,4.6,Major,,60555.61148,45.21485657,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Organic Nitrogen,153122,7727379,6.591666667,Major,,49116.55314,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,Phosphorus,153049,7723140,5.691263441,Major,,44469.97359,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,"BOD, 5-day, 20 deg. C",,,5.691263441,Major,,43986.59763,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,"BOD, 5-day, 20 deg. C",,,6.591666667,Major,,42439,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,"Phosphate, total (as PO4)",194464,14265442,5.691263441,Major,,41480.64815,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Ammonia as N,152389,7664417,6.591666667,Major,,40604.28885,45.07076062,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,Magnesium,149617,7439954,0.4846299677,Major,,34793.22671,30.11469391,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Total Kjeldahl Nitrogen,153122,7727379,4.6,Major,,34080.45955,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",278218,39001020,0.4846299677,Major,,33257.88485,67212854.96,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,Total Kjeldahl Nitrogen,153122,7727379,5.691263441,Major,,30183.92243,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Phosphorus,153049,7723140,6.591666667,Major,,27676.84161,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,Ammonia as N,152389,7664417,5.691263441,Major,,26440.1,29.348511,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,"Phosphate, total (as PO4)",194464,14265442,6.591666667,Major,,25453.73757,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0003352,110001169173,SIX FLAGS MAGIC MOUNTAIN INC,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,7996,34.42197,-118.58515,Chloride,205955,16887006,0.03475216667,Major,,25323.39569,0.6165696342,https://echo.epa.gov/detailed-facility-report?fid=CA0003352&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Organic Nitrogen,153122,7727379,4.6,Major,,20451.25522,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,"Solids, total suspended",,,0.4846299677,Major,,19894.9883,0,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Boron,150011,7440428,6.591666667,Major,,15943,132.9911922,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,"Solids, total suspended",,,5.691263441,Major,,15629.7,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Ammonia as N,152389,7664417,4.6,Major,,13588.22583,15.08293067,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Phosphorus,153049,7723140,4.6,Major,,11736.65066,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,Fluoride,206706,16984488,5.691263441,Major,,11266.62485,337.9987456,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,"Phosphate, total (as PO4)",194464,14265442,4.6,Major,,11136.75892,0,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Fluoride,206706,16984488,6.591666667,Major,,10688.7263,320.661789,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,Organic Nitrogen,153122,7727379,5.691263441,Major,,8490.273084,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Boron,150011,7440428,4.6,Major,,5594,46.66328352,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,Iron,149559,7439896,6.591666667,Major,,3732.3,20.90088,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,"1,2,3,6,7,8-Hexachlorodibenzofuran",308825,57117449,0.4846299677,Major,,3695.687919,52144086959,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0054313,110000761015,SAUGUS WWRP,SAUGUS,LOS ANGELES,CA,180701020401,South Fork Santa Clara River,4952,34.420328,-118.540678,Fluoride,206706,16984488,4.6,Major,,3250.971473,97.5291442,https://echo.epa.gov/detailed-facility-report?fid=CA0054313&sys=ICP
ICIS,CA0055824,110018947292,CASTAIC,CASTAIC,LOS ANGELES,CA,180701020305,Middle Castaic Creek,4911,34.60233,-118.67051,Inorganic Nitrogen,,7727379,81.38382167,Major,,3123.31,0,https://echo.epa.gov/detailed-facility-report?fid=CA0055824&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,"BOD, 5-day, 20 deg. C",,,0.4846299677,Major,,3104.509091,0,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0054216,110002422646,VALENCIA WWRP,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,4952,34.432406,-118.591853,"Nitrite nitrogen, dissolved (as N)",197194,14797650,6.591666667,Major,,1958.788598,6.268123512,https://echo.epa.gov/detailed-facility-report?fid=CA0054216&sys=ICP
ICIS,CA0055824,110018947292,CASTAIC,CASTAIC,LOS ANGELES,CA,180701020305,Middle Castaic Creek,4911,34.60233,-118.67051,Zinc,150235,7440666,81.38382167,Major,,1896.200207,75.84800828,https://echo.epa.gov/detailed-facility-report?fid=CA0055824&sys=ICP
ICIS,CA0003352,110001169173,SIX FLAGS MAGIC MOUNTAIN INC,VALENCIA,LOS ANGELES,CA,180701020403,Salt Canyon-Santa Clara River,7996,34.42197,-118.58515,Inorganic Nitrogen,,7727379,0.03475216667,Major,,1734.420965,0,https://echo.epa.gov/detailed-facility-report?fid=CA0003352&sys=ICP
ICIS,CA0059188,110064634551,WILLIAM E. WARNE POWER PLANT,LOS ANGELES COUNTY,LOS ANGELES,CA,180701020507,Gorman Creek,4911,34.785,-118.853306,Inorganic Nitrogen,,7727379,0.4846299677,Major,,1557.536676,0,https://echo.epa.gov/detailed-facility-report?fid=CA0059188&sys=ICP
ICIS,CA0053651,110000514346,VENTURA WATER RECLAMATION FACILITY,VENTURA,VENTURA,CA,180701020904,Harmon Canyon-Santa Clara River,4952,34.242342,-119.260612,Foaming agents,,,5.691263441,Major,,1133.2,0,https://echo.epa.gov/detailed-facility-report?fid=CA0053651&sys=ICP
